,DM1,DM2,DM4,DM8,SA1,SA2,SA4,SA8,reconf
500,0.418,0.394,0.378,0.242,0.41,0.388,0.36,0.224,0.244
1000,0.477,0.456,0.442,0.277,0.449,0.43,0.395,0.229,0.278
1500,0.4246666667,0.4106666667,0.3993333333,0.2506666667,0.3853333333,0.3726666667,0.3406666667,0.1966666667,0.2513333333
2000,0.386,0.3735,0.3635,0.2315,0.323,0.313,0.2865,0.1715,0.232
2500,0.3944,0.3808,0.3704,0.2348,0.3288,0.318,0.288,0.172,0.2352
3000,0.3973333333,0.3856666667,0.3763333333,0.243,0.3146666667,0.307,0.284,0.1743333333,0.2433333333
3500,0.3925714286,0.3797142857,0.3702857143,0.24,0.2994285714,0.292,0.2731428571,0.1682857143,0.2402857143
4000,0.41425,0.4055,0.397,0.2565,0.3215,0.3185,0.294,0.18425,0.25675
4500,0.4228888889,0.4215555556,0.4135555556,0.2677777778,0.3373333333,0.3428888889,0.3084444444,0.1995555556,0.268
5000,0.405,0.412,0.4046,0.268,0.3216,0.3382,0.3066,0.2088,0.2682
