,DM1,DM2,DM4,DM8,SA1,SA2,SA4,SA8,reconf
500,0.304,0.398,0.398,0.294,0.288,0.382,0.358,0.262,0.296
1000,0.504,0.565,0.565,0.377,0.492,0.553,0.495,0.325,0.378
1500,0.4893333333,0.5353333333,0.5253333333,0.3666666667,0.4793333333,0.5253333333,0.4726666667,0.32,0.3673333333
2000,0.489,0.5395,0.5295,0.368,0.481,0.5325,0.476,0.3215,0.3685
2500,0.5108,0.5588,0.5492,0.3752,0.5004,0.5512,0.4788,0.3184,0.3756
3000,0.5456666667,0.589,0.5823333333,0.389,0.534,0.5806666667,0.4936666667,0.3243333333,0.3893333333
3500,0.514,0.5534285714,0.5477142857,0.3711428571,0.506,0.5474285714,0.4654285714,0.3105714286,0.3714285714
4000,0.47075,0.5055,0.5005,0.346,0.4635,0.5,0.42825,0.29275,0.34625
4500,0.4368888889,0.4677777778,0.4633333333,0.326,0.4304444444,0.4628888889,0.3991111111,0.2786666667,0.3262222222
5000,0.445,0.4768,0.473,0.3324,0.4396,0.4732,0.4048,0.2828,0.3326
5500,0.4129090909,0.4418181818,0.4383636364,0.3105454545,0.408,0.4385454545,0.3763636364,0.262,0.3107272727
6000,0.3866666667,0.4131666667,0.41,0.293,0.3815,0.4095,0.3525,0.2455,0.2931666667
6500,0.3952307692,0.4221538462,0.4189230769,0.2970769231,0.3864615385,0.4153846154,0.3564615385,0.2473846154,0.2972307692
7000,0.4112857143,0.4382857143,0.4354285714,0.309,0.4021428571,0.4321428571,0.3715714286,0.259,0.3091428571
7500,0.4325333333,0.4585333333,0.4557333333,0.32,0.4206666667,0.4497333333,0.3862666667,0.2674666667,0.3201333333
8000,0.451625,0.479,0.476375,0.3325,0.440875,0.4695,0.401375,0.275625,0.332625
8500,0.4595294118,0.4883529412,0.4858823529,0.3387058824,0.4481176471,0.4772941176,0.4069411765,0.2814117647,0.3388235294
9000,0.4578888889,0.4908888889,0.4886666667,0.3403333333,0.4491111111,0.4808888889,0.4097777778,0.283,0.3404444444
9500,0.4652631579,0.4991578947,0.4968421053,0.3441052632,0.4558947368,0.4891578947,0.4146315789,0.2845263158,0.3442105263
10000,0.4773,0.511,0.5088,0.3499,0.4682,0.501,0.4225,0.2875,0.35
10500,0.4805714286,0.5144761905,0.5122857143,0.3517142857,0.4719047619,0.505047619,0.4243809524,0.2871428571,0.3518095238
11000,0.4628181818,0.4951818182,0.4930909091,0.3398181818,0.4545454545,0.4861818182,0.4091818182,0.2767272727,0.3399090909
11500,0.4470434783,0.478,0.476,0.3295652174,0.4387826087,0.4690434783,0.3955652174,0.2673043478,0.3296521739
12000,0.4519166667,0.4835833333,0.4815833333,0.3325833333,0.4413333333,0.4731666667,0.3988333333,0.2693333333,0.3326666667
12500,0.46048,0.4916,0.48968,0.33736,0.44976,0.48168,0.40392,0.27288,0.33744
13000,0.4755384615,0.5063076923,0.5043076923,0.3463846154,0.4646153846,0.4966153846,0.4140769231,0.28,0.3464615385
13500,0.4645925926,0.4942222222,0.4922962963,0.3392592593,0.4528888889,0.484962963,0.4048148148,0.274962963,0.3393333333
14000,0.4524285714,0.481,0.4791428571,0.3315714286,0.4398571429,0.4720714286,0.3947857143,0.2695714286,0.3316428571
14500,0.4411724138,0.4687586207,0.4669655172,0.3244827586,0.4276551724,0.460137931,0.3855172414,0.2646206897,0.3245517241
15000,0.4306,0.4572666667,0.4555333333,0.3178,0.4164,0.4489333333,0.3768,0.2599333333,0.3178666667
15500,0.4416129032,0.4682580645,0.4663225806,0.3248387097,0.4275483871,0.4608387097,0.3856129032,0.2660645161,0.3249032258
16000,0.441625,0.4683125,0.4663125,0.3259375,0.428375,0.461375,0.3858125,0.267125,0.326
16500,0.4435151515,0.4718787879,0.4695757576,0.3283030303,0.4294545455,0.4633939394,0.3878787879,0.2683636364,0.3283636364
17000,0.4404117647,0.4703529412,0.4677058824,0.3271764706,0.4235882353,0.4580588235,0.3833529412,0.2653529412,0.3272352941
17500,0.4313714286,0.4586857143,0.4552571429,0.3182857143,0.4136571429,0.446,0.3729142857,0.258,0.3183428571
18000,0.4228333333,0.4476666667,0.4434444444,0.3098333333,0.4042222222,0.4347777778,0.3630555556,0.2511111111,0.3098888889
18500,0.4145405405,0.4371351351,0.4323243243,0.3018918919,0.3951351351,0.4240540541,0.3536756757,0.2445945946,0.3019459459
19000,0.4128947368,0.4337894737,0.4284736842,0.299,0.3931052632,0.4205789474,0.3502105263,0.2419473684,0.2990526316
19500,0.410974359,0.4313846154,0.4262051282,0.2979487179,0.3918461538,0.4186666667,0.3487179487,0.2418461538,0.298
20000,0.4072,0.4273,0.4223,0.29645,0.3878,0.41435,0.34605,0.24145,0.2965
